stateid,weekid,dose1,dose2
AP,1,4216,0
AP,2,66164,0
AP,3,63191,0
AP,4,112367,0
AP,5,67569,6233
AP,6,100311,81237
AP,7,122137,50342
AP,8,117103,45307
AP,9,195605,54193
AP,10,445838,61917
AP,11,667934,73728
AP,12,604379,47066
AP,13,714537,101863
AP,14,728589,76034
AP,15,533378,528629
AP,16,631642,392788
AP,17,261632,454871
AP,18,48122,193005
AP,19,79646,180783
AP,20,1710375,133539
AP,21,956613,90939
AP,22,1025779,47528
AP,23,593828,32276
AP,24,2069992,254321
AP,25,1251921,361815
AP,26,299752,204683
AP,27,1035127,644884
AP,28,402582,537279
AP,29,1186472,917332
AP,30,1380322,567504
AP,31,1039018,345116
AR,1,81,0
AR,2,2365,0
AR,3,4045,0
AR,4,2797,0
AR,5,3963,456
AR,6,6767,3764
AR,7,5885,2742
AR,8,11346,2690
AR,9,8860,2904
AR,10,10377,3944
AR,11,11366,3469
AR,12,10262,2651
AR,13,23642,6926
AR,14,32191,7263
AR,15,28718,9706
AR,16,27245,9099
AR,17,17836,14280
AR,18,11013,7987
AR,19,26396,191
AR,20,9292,198
AR,21,39729,330
AR,22,37188,429
AR,23,67181,593
AR,24,71623,1717
AR,25,64082,8122
AR,26,55752,22204
AR,27,37351,24789
AR,28,25971,22686
AR,29,17741,15395
AR,30,16958,8849
AR,31,12954,16353
AS,1,401,0
AS,2,3660,0
AS,3,26512,0
AS,4,47925,0
AS,5,43552,2006
AS,6,31279,8584
AS,7,42047,17168
AS,8,148225,24810
AS,9,126257,31299
AS,10,87796,24516
AS,11,332813,33017
AS,12,140106,32003
AS,13,205557,76554
AS,14,59332,40762
AS,15,297490,122152
AS,16,427578,140664
AS,17,325788,103004
AS,18,285358,74338
AS,19,306857,46646
AS,20,308167,49656
AS,21,220749,20593
AS,22,374072,69556
AS,23,427672,138079
AS,24,1389486,127319
AS,25,643862,111854
AS,26,263231,50524
AS,27,671272,181569
AS,28,720674,184910
AS,29,751281,217665
AS,30,1480218,220949
AS,31,1240836,292703
BR,1,2967,0
BR,2,35442,0
BR,3,67342,0
BR,4,224576,0
BR,5,121379,55
BR,6,67654,38347
BR,7,39961,39826
BR,8,84363,106740
BR,9,429095,107410
BR,10,379926,75699
BR,11,637591,40374
BR,12,672940,24127
BR,13,1190747,104666
BR,14,941202,145577
BR,15,585058,199000
BR,16,448482,237224
BR,17,375673,359313
BR,18,875670,211098
BR,19,612349,40111
BR,20,638997,43592
BR,21,652055,65897
BR,22,948946,67327
BR,23,1439227,131631
BR,24,2036374,137168
BR,25,1215113,220262
BR,26,1158201,278383
BR,27,1671900,436012
BR,28,1098865,293284
BR,29,1899663,487583
BR,30,2393761,508959
BR,31,2221859,459602
CH,1,120,0
CH,2,670,0
CH,3,1416,0
CH,4,1652,0
CH,5,2851,117
CH,6,3670,629
CH,7,6548,894
CH,8,10599,1513
CH,9,10773,2549
CH,10,9532,3134
CH,11,7357,2411
CH,12,19340,2062
CH,13,22216,4955
CH,14,20990,7256
CH,15,20260,11207
CH,16,25605,12890
CH,17,23846,13379
CH,18,23717,10676
CH,19,26558,950
CH,20,27027,232
CH,21,38028,244
CH,22,22874,633
CH,23,47250,1427
CH,24,44405,4400
CH,25,39330,13394
CH,26,33578,20091
CH,27,48697,22202
CH,28,38004,30968
CH,29,45069,26949
CH,30,64627,23069
CH,31,46970,26120
CT,1,1001,0
CT,2,10862,0
CT,3,44729,0
CT,4,95417,0
CT,5,94083,841
CT,6,92098,19581
CT,7,35240,30549
CT,8,133808,68503
CT,9,186249,70839
CT,10,376762,76392
CT,11,346289,37823
CT,12,868490,30943
CT,13,1394756,67377
CT,14,644864,86564
CT,15,332694,108307
CT,16,153667,140814
CT,17,81557,138946
CT,18,99283,193632
CT,19,33664,11220
CT,20,33832,11242
CT,21,23811,28498
CT,22,16590,26277
CT,23,20757,28275
CT,24,1015573,203500
CT,25,942359,262681
CT,26,324093,182849
CT,27,392510,146820
CT,28,370054,165567
CT,29,367534,164757
CT,30,483921,239660
CT,31,256296,210601
DL,1,892,0
DL,2,11420,0
DL,3,32446,0
DL,4,52734,0
DL,5,80682,1967
DL,6,112963,16306
DL,7,76562,20459
DL,8,59191,29532
DL,9,71391,52494
DL,10,80893,70747
DL,11,99515,51811
DL,12,532730,38432
DL,13,493931,75593
DL,14,415749,94245
DL,15,274836,114710
DL,16,216007,145011
DL,17,432516,150147
DL,18,420102,185393
DL,19,472965,104987
DL,20,211070,52037
DL,21,222480,81145
DL,22,267860,155638
DL,23,304796,137733
DL,24,685715,121819
DL,25,837050,206630
DL,26,347699,169735
DL,27,320221,135129
DL,28,155109,172376
DL,29,93217,280822
DL,30,361519,270569
DL,31,506741,329534
DN,1,23,0
DN,2,257,0
DN,3,572,0
DN,4,1403,0
DN,5,1805,71
DN,6,2316,394
DN,7,928,209
DN,8,3942,1210
DN,9,3086,1358
DN,10,4011,1348
DN,11,3713,680
DN,12,12368,1248
DN,13,24706,2260
DN,14,12834,2401
DN,15,4752,2206
DN,16,3037,3182
DN,17,2813,4205
DN,18,9081,5099
DN,19,28723,38
DN,20,40317,49
DN,21,36291,104
DN,22,43328,283
DN,23,41145,579
DN,24,60008,4986
DN,25,77257,15723
DN,26,47581,12135
DN,27,44556,6787
DN,28,19373,4797
DN,29,24891,3418
DN,30,25170,4142
DN,31,18093,11509
GA,1,50,0
GA,2,921,0
GA,3,2493,0
GA,4,3996,0
GA,5,5817,309
GA,6,2845,964
GA,7,3748,1477
GA,8,17024,4156
GA,9,18901,4802
GA,10,20455,2625
GA,11,15441,2831
GA,12,19828,4451
GA,13,28866,9070
GA,14,51493,14593
GA,15,45666,16298
GA,16,44461,11688
GA,17,27329,9744
GA,18,32909,11207
GA,19,47020,453
GA,20,37256,293
GA,21,41010,1289
GA,22,56267,1598
GA,23,122640,3077
GA,24,101915,6866
GA,25,104524,20017
GA,26,64429,38377
GA,27,58469,42474
GA,28,37450,36859
GA,29,41482,26878
GA,30,32680,22663
GA,31,25430,34850
GJ,1,1249,0
GJ,2,43624,0
GJ,3,166678,0
GJ,4,237260,0
GJ,5,310988,2
GJ,6,50916,58540
GJ,7,11018,109044
GJ,8,592876,163278
GJ,9,540133,183111
GJ,10,869323,100063
GJ,11,1506501,33746
GJ,12,1718471,141764
GJ,13,1933596,283697
GJ,14,938722,342208
GJ,15,574344,525097
GJ,16,596883,646257
GJ,17,584044,617574
GJ,18,536418,638157
GJ,19,298440,55584
GJ,20,1122629,192021
GJ,21,1281070,195889
GJ,22,1606954,260016
GJ,23,1594163,241213
GJ,24,2214681,539058
GJ,25,1322045,573446
GJ,26,719894,364369
GJ,27,1189438,524363
GJ,28,1390917,574960
GJ,29,1388115,574033
GJ,30,2119509,813396
GJ,31,2758409,872633
HP,1,202,0
HP,2,5194,0
HP,3,17391,0
HP,4,26548,0
HP,5,27408,449
HP,6,17826,11382
HP,7,6358,8662
HP,8,19965,24530
HP,9,45478,18159
HP,10,86720,16137
HP,11,96216,6943
HP,12,171215,4517
HP,13,316877,14656
HP,14,306340,28920
HP,15,211198,48268
HP,16,207336,78505
HP,17,136934,98532
HP,18,85340,73015
HP,19,116814,552
HP,20,94894,381
HP,21,92799,582
HP,22,62900,1784
HP,23,226888,4330
HP,24,631361,31560
HP,25,368035,135788
HP,26,44938,250204
HP,27,81829,181931
HP,28,235879,127003
HP,29,208385,106633
HP,30,240951,87535
HP,31,760570,152737
HR,1,1864,0
HR,2,41486,0
HR,3,51793,0
HR,4,13821,0
HR,5,68718,590
HR,6,26450,18663
HR,7,13841,42413
HR,8,43546,12757
HR,9,106522,28108
HR,10,353390,25684
HR,11,368204,14043
HR,12,504758,17302
HR,13,494257,35052
HR,14,617594,121770
HR,15,325976,154159
HR,16,179394,94592
HR,17,361976,149404
HR,18,403805,201816
HR,19,434462,29461
HR,20,404594,42523
HR,21,389453,29997
HR,22,481040,44666
HR,23,493967,83130
HR,24,951790,151909
HR,25,672968,256587
HR,26,299067,188721
HR,27,409281,251858
HR,28,281337,192072
HR,29,523051,318346
HR,30,633916,336860
HR,31,539785,349022
JH,1,326,0
JH,2,3620,0
JH,3,25946,0
JH,4,53414,0
JH,5,106371,1906
JH,6,62509,9222
JH,7,29696,11489
JH,8,58080,35603
JH,9,99308,76634
JH,10,243479,66661
JH,11,624882,33110
JH,12,145431,14437
JH,13,453537,31553
JH,14,411287,48709
JH,15,150172,72590
JH,16,92588,72261
JH,17,62769,78407
JH,18,155611,90243
JH,19,312272,11885
JH,20,216645,22766
JH,21,299606,37729
JH,22,465843,44856
JH,23,536342,105671
JH,24,756955,114507
JH,25,400766,96600
JH,26,405923,165906
JH,27,410646,196571
JH,28,314976,120545
JH,29,638458,198014
JH,30,462695,141820
JH,31,520945,167562
JK,1,447,0
JK,2,5146,0
JK,3,15668,0
JK,4,19648,0
JK,5,76768,722
JK,6,68420,5536
JK,7,36289,9429
JK,8,66458,9418
JK,9,73822,31109
JK,10,107215,54887
JK,11,113114,34887
JK,12,154072,13534
JK,13,358537,31203
JK,14,263001,39658
JK,15,332605,75128
JK,16,304779,74739
JK,17,240266,100981
JK,18,77052,51755
JK,19,104877,4427
JK,20,281672,5436
JK,21,196504,22221
JK,22,172502,17637
JK,23,282829,19319
JK,24,291914,37027
JK,25,369468,107633
JK,26,280445,74628
JK,27,219413,148004
JK,28,174117,164160
JK,29,219244,175570
JK,30,328255,146468
JK,31,311680,117916
KA,1,3810,0
KA,2,80775,0
KA,3,161853,0
KA,4,75083,0
KA,5,114149,15
KA,6,111109,117066
KA,7,64556,104609
KA,8,67269,23113
KA,9,316522,80994
KA,10,1003866,70724
KA,11,856080,46189
KA,12,1116446,36523
KA,13,1530544,85162
KA,14,947057,178371
KA,15,989996,410957
KA,16,739375,444730
KA,17,398587,421364
KA,18,350127,477435
KA,19,480735,119400
KA,20,1217660,104379
KA,21,1580584,141383
KA,22,1678867,144767
KA,23,1320335,208824
KA,24,2883750,317149
KA,25,1512669,504248
KA,26,1252304,627216
KA,27,1097069,595421
KA,28,934464,642256
KA,29,956340,626938
KA,30,1626937,766505
KA,31,1193412,541653
KL,1,1681,0
KL,2,20263,0
KL,3,112281,0
KL,4,137506,0
KL,5,66436,0
KL,6,68561,38833
KL,7,82385,65387
KL,8,266903,82935
KL,9,286070,92459
KL,10,390816,70974
KL,11,467076,38955
KL,12,1516422,32540
KL,13,854454,70813
KL,14,887737,181061
KL,15,629977,365230
KL,16,281158,316503
KL,17,117554,409013
KL,18,238917,226940
KL,19,197568,28873
KL,20,546842,24248
KL,21,887365,112227
KL,22,885676,80716
KL,23,733256,188591
KL,24,829185,550951
KL,25,656728,624472
KL,26,381780,520910
KL,27,445090,538167
KL,28,887317,926404
KL,29,1234251,466643
KL,30,1305579,311750
KL,31,1864857,292218
LA,1,9,0
LA,2,321,0
LA,3,629,0
LA,4,858,0
LA,5,1014,71
LA,6,2952,529
LA,7,3629,329
LA,8,4975,1049
LA,9,16350,926
LA,10,7582,2367
LA,11,1399,1382
LA,12,12989,-22
LA,13,11811,1282
LA,14,2639,2749
LA,15,4557,14163
LA,16,3270,9633
LA,17,8048,2030
LA,18,3613,764
LA,19,8160,7
LA,20,22031,20
LA,21,23530,33
LA,22,13316,69
LA,23,8127,96
LA,24,6862,9816
LA,25,5132,11037
LA,26,7582,2400
LA,27,3585,1439
LA,28,800,1102
LA,29,1311,4375
LA,30,1345,2313
LA,31,1109,2866
LD,1,16,0
LD,2,718,0
LD,3,73,0
LD,4,26,0
LD,5,742,0
LD,6,114,81
LD,7,135,26
LD,8,115,32
LD,9,1066,720
LD,10,623,628
LD,11,539,194
LD,12,1411,140
LD,13,4572,736
LD,14,4011,427
LD,15,3092,785
LD,16,1917,505
LD,17,1070,1179
LD,18,1212,1353
LD,19,1654,115
LD,20,2086,23
LD,21,6130,28
LD,22,7684,105
LD,23,5120,81
LD,24,2127,325
LD,25,831,1065
LD,26,852,2122
LD,27,1010,2340
LD,28,692,1432
LD,29,600,1529
LD,30,613,890
LD,31,827,1014
MH,1,5652,0
MH,2,62591,0
MH,3,163259,0
MH,4,201147,0
MH,5,214532,170
MH,6,213861,44738
MH,7,159241,112169
MH,8,291133,100383
MH,9,671479,151119
MH,10,930645,176281
MH,11,1061332,128431
MH,12,2457484,73619
MH,13,2446032,158951
MH,14,1863690,332886
MH,15,1460487,607629
MH,16,1285397,744439
MH,17,968856,656264
MH,18,1056243,878653
MH,19,618617,177122
MH,20,1359001,131592
MH,21,1556285,244941
MH,22,1407464,394756
MH,23,1433951,303770
MH,24,2865673,497726
MH,25,1992021,863199
MH,26,1488406,874956
MH,27,1716863,1290104
MH,28,1008445,791458
MH,29,1797246,1335060
MH,30,1554134,742578
MH,31,1622540,853033
ML,1,102,0
ML,2,607,0
ML,3,2361,0
ML,4,2515,0
ML,5,7320,91
ML,6,16523,1592
ML,7,10786,1923
ML,8,7128,1902
ML,9,10312,5466
ML,10,10290,10536
ML,11,10160,10000
ML,12,7139,1367
ML,13,17841,5365
ML,14,22441,5708
ML,15,32140,7907
ML,16,79815,8679
ML,17,37901,7371
ML,18,51381,6154
ML,19,33455,92
ML,20,29111,168
ML,21,12953,141
ML,22,24645,226
ML,23,87909,383
ML,24,72202,1434
ML,25,62869,6993
ML,26,62582,14007
ML,27,64914,22242
ML,28,58666,44507
ML,29,52216,34162
ML,30,44129,27889
ML,31,36387,31054
MN,1,181,0
MN,2,916,0
MN,3,1836,0
MN,4,4048,0
MN,5,13830,55
MN,6,16712,1299
MN,7,10789,899
MN,8,13567,2286
MN,9,7923,5503
MN,10,5794,9586
MN,11,5835,10125
MN,12,1764,4015
MN,13,5619,9618
MN,14,13302,6624
MN,15,22319,5755
MN,16,77829,5937
MN,17,61348,5193
MN,18,43660,2830
MN,19,36440,341
MN,20,36977,270
MN,21,40799,580
MN,22,44617,516
MN,23,26947,711
MN,24,37680,905
MN,25,113145,2642
MN,26,132645,8924
MN,27,146530,19403
MN,28,106194,53225
MN,29,79047,48176
MN,30,42589,33042
MN,31,23004,27890
MP,1,9435,0
MP,2,28993,0
MP,3,246354,0
MP,4,48050,0
MP,5,215440,3
MP,6,83365,3806
MP,7,13079,155853
MP,8,173094,72374
MP,9,244648,102524
MP,10,721547,121546
MP,11,762733,40898
MP,12,964061,35577
MP,13,1355695,65850
MP,14,1680423,158824
MP,15,395867,195346
MP,16,100502,151316
MP,17,158351,328523
MP,18,271204,258266
MP,19,554907,62412
MP,20,1070688,31114
MP,21,1698452,48389
MP,22,1159215,109117
MP,23,1008031,112871
MP,24,4480345,302148
MP,25,1337997,455718
MP,26,1345678,976357
MP,27,1040003,225132
MP,28,2118982,534334
MP,29,3543073,620699
MP,30,2381061,472778
MP,31,2453364,451853
MZ,1,105,0
MZ,2,1765,0
MZ,3,6107,0
MZ,4,1493,0
MZ,5,709,75
MZ,6,4505,2159
MZ,7,7238,3398
MZ,8,12105,3543
MZ,9,11726,939
MZ,10,6739,2017
MZ,11,3005,1460
MZ,12,1012,1015
MZ,13,17093,6977
MZ,14,48566,10105
MZ,15,48597,8657
MZ,16,43101,4472
MZ,17,17299,2215
MZ,18,7638,3935
MZ,19,13396,16
MZ,20,10097,104
MZ,21,10024,128
MZ,22,19548,1104
MZ,23,84164,335
MZ,24,121109,586
MZ,25,43352,6433
MZ,26,42814,28389
MZ,27,25979,39446
MZ,28,17275,44035
MZ,29,12487,25407
MZ,30,14266,8002
MZ,31,6795,12739
NL,1,94,0
NL,2,1480,0
NL,3,1955,0
NL,4,563,0
NL,5,4949,0
NL,6,10760,3438
NL,7,7607,1562
NL,8,4492,549
NL,9,6971,3567
NL,10,7507,5901
NL,11,8497,5999
NL,12,5098,1487
NL,13,15361,3643
NL,14,33191,4381
NL,15,28707,4520
NL,16,22323,5243
NL,17,12673,6099
NL,18,9820,5388
NL,19,13442,78
NL,20,15068,75
NL,21,19283,119
NL,22,50681,299
NL,23,61452,700
NL,24,61613,1797
NL,25,52805,9622
NL,26,45765,23291
NL,27,42855,25080
NL,28,47226,22436
NL,29,23702,13892
NL,30,13878,7811
NL,31,9561,10963
OR,1,3420,0
OR,2,85672,0
OR,3,69237,0
OR,4,62072,0
OR,5,139802,3
OR,6,59049,70538
OR,7,21283,62750
OR,8,138775,31964
OR,9,221962,104007
OR,10,510834,53989
OR,11,430553,26073
OR,12,650768,45388
OR,13,1210986,88834
OR,14,656520,119490
OR,15,472718,190291
OR,16,204496,140252
OR,17,118250,200530
OR,18,199788,271268
OR,19,403837,35874
OR,20,578266,29373
OR,21,539813,34276
OR,22,569870,124846
OR,23,671263,176927
OR,24,1497362,215934
OR,25,479221,183594
OR,26,730829,510608
OR,27,463002,355093
OR,28,597236,536092
OR,29,796722,307479
OR,30,1143479,234799
OR,31,1282572,324652
PB,1,339,0
PB,2,16180,0
PB,3,29129,0
PB,4,18751,0
PB,5,27589,62
PB,6,24720,12229
PB,7,32491,20203
PB,8,59316,13338
PB,9,85862,18972
PB,10,151231,19958
PB,11,207963,16206
PB,12,380030,17945
PB,13,584632,32394
PB,14,527457,55250
PB,15,470970,101050
PB,16,405841,135508
PB,17,251366,142759
PB,18,215032,120393
PB,19,154749,20148
PB,20,163372,35310
PB,21,272281,31263
PB,22,290780,24039
PB,23,165350,33066
PB,24,611485,117069
PB,25,564016,216170
PB,26,334440,158426
PB,27,440082,208682
PB,28,234134,199921
PB,29,472618,212914
PB,30,668889,239647
PB,31,544924,315711
PY,1,91,0
PY,2,697,0
PY,3,1203,0
PY,4,895,0
PY,5,2202,48
PY,6,3638,645
PY,7,1021,375
PY,8,4668,984
PY,9,8145,1351
PY,10,14590,1787
PY,11,17329,885
PY,12,17832,1280
PY,13,12729,1883
PY,14,62153,3889
PY,15,10217,5917
PY,16,7909,8976
PY,17,6010,10538
PY,18,5851,10155
PY,19,10247,405
PY,20,17850,280
PY,21,21649,513
PY,22,35886,1184
PY,23,78806,3058
PY,24,59854,6869
PY,25,35283,9080
PY,26,24100,34636
PY,27,36157,19851
PY,28,26270,9889
PY,29,24703,6520
PY,30,23033,4694
PY,31,18666,6396
RJ,1,3285,0
RJ,2,44630,0
RJ,3,260008,0
RJ,4,126859,0
RJ,5,150788,0
RJ,6,187668,36825
RJ,7,16240,184117
RJ,8,915155,98478
RJ,9,648245,124376
RJ,10,1127685,189443
RJ,11,1112215,27122
RJ,12,975225,141525
RJ,13,2880719,312989
RJ,14,881931,250727
RJ,15,967612,543249
RJ,16,537635,339558
RJ,17,599274,403010
RJ,18,716229,332660
RJ,19,767046,41975
RJ,20,750240,65050
RJ,21,776273,126025
RJ,22,1828120,116780
RJ,23,1206696,55582
RJ,24,2710837,407036
RJ,25,1138425,540541
RJ,26,334966,330302
RJ,27,1161326,847280
RJ,28,1095512,763765
RJ,29,1051186,1218175
RJ,30,1738717,747531
RJ,31,1821035,739438
SK,1,7,0
SK,2,292,0
SK,3,1408,0
SK,4,3382,0
SK,5,2953,0
SK,6,4180,699
SK,7,5425,766
SK,8,7574,2791
SK,9,13895,3329
SK,10,12503,2529
SK,11,8783,2809
SK,12,5816,-261
SK,13,33745,2576
SK,14,39431,5491
SK,15,14185,11141
SK,16,7785,11726
SK,17,3408,10773
SK,18,1428,5225
SK,19,8466,43
SK,20,4572,16
SK,21,676,61
SK,22,33676,85
SK,23,85132,112
SK,24,72812,1686
SK,25,44863,23584
SK,26,25728,33281
SK,27,22258,17637
SK,28,17658,8405
SK,29,8590,3601
SK,30,6523,2638
SK,31,3675,7299
TG,1,465,0
TG,2,25718,0
TG,3,68817,0
TG,4,40977,0
TG,5,73813,1929
TG,6,67727,77733
TG,7,13908,48002
TG,8,70657,31052
TG,9,101039,49366
TG,10,136218,11761
TG,11,185426,10709
TG,12,401078,18384
TG,13,577584,47562
TG,14,821537,70783
TG,15,915083,136500
TG,16,657886,125830
TG,17,230705,184711
TG,18,61390,249388
TG,19,3397,9671
TG,20,219348,171938
TG,21,602025,56939
TG,22,1213222,40586
TG,23,1196291,42555
TG,24,1165899,91356
TG,25,1089154,215383
TG,26,478232,285436
TG,27,450695,421780
TG,28,201798,541368
TG,29,179307,542890
TG,30,340091,410166
TG,31,484202,258336
TN,1,1091,0
TN,2,28431,0
TN,3,44191,0
TN,4,46571,0
TN,5,65392,622
TN,6,57506,12663
TN,7,27213,20513
TN,8,253740,28457
TN,9,499087,51217
TN,10,621186,59726
TN,11,605457,44301
TN,12,400044,47878
TN,13,422253,103289
TN,14,731474,201329
TN,15,295747,328446
TN,16,268843,378106
TN,17,206557,273340
TN,18,250455,244039
TN,19,236630,47472
TN,20,1270195,48856
TN,21,1058817,76561
TN,22,547475,48342
TN,23,1626534,107846
TN,24,2056135,195589
TN,25,1414933,225981
TN,26,514829,211458
TN,27,1384479,479712
TN,28,1243152,302789
TN,29,1498545,392063
TN,30,1576672,396479
TN,31,1174385,266006
TR,1,107,0
TR,2,3242,0
TR,3,17993,0
TR,4,10893,0
TR,5,29275,334
TR,6,19365,11080
TR,7,7214,9588
TR,8,18629,7932
TR,9,25927,18620
TR,10,116361,19131
TR,11,303750,8267
TR,12,83174,3923
TR,13,85000,12390
TR,14,45278,22711
TR,15,54367,77270
TR,16,86924,162825
TR,17,45448,111604
TR,18,32583,40986
TR,19,59022,334
TR,20,36084,578
TR,21,46963,471
TR,22,19783,4493
TR,23,236415,24532
TR,24,510210,36598
TR,25,104894,40919
TR,26,59108,32856
TR,27,82326,44761
TR,28,69473,49589
TR,29,150211,43390
TR,30,45271,14927
TR,31,28407,26677
UP,1,2185,0
UP,2,28033,0
UP,3,396136,0
UP,4,202247,0
UP,5,222276,2
UP,6,267432,99007
UP,7,142651,282355
UP,8,199599,140363
UP,9,537066,90610
UP,10,1258596,268973
UP,11,1066707,123473
UP,12,1116978,45243
UP,13,1711496,169142
UP,14,1820042,368749
UP,15,673240,384348
UP,16,547379,369373
UP,17,579495,406871
UP,18,801784,474109
UP,19,1175203,83189
UP,20,1625163,102930
UP,21,2053188,175826
UP,22,2523776,165601
UP,23,2367458,225552
UP,24,4464245,294848
UP,25,1618842,491941
UP,26,3525440,968329
UP,27,2421734,716533
UP,28,3287715,681961
UP,29,3255097,576096
UP,30,4629640,596630
UP,31,2989618,782393
UT,1,511,0
UT,2,2727,0
UT,3,20684,0
UT,4,46416,0
UT,5,39628,403
UT,6,28286,7886
UT,7,9846,12215
UT,8,42864,35259
UT,9,66264,29830
UT,10,119424,27835
UT,11,122378,10289
UT,12,225500,15864
UT,13,380519,39425
UT,14,219846,61996
UT,15,194108,91544
UT,16,155973,91535
UT,17,93767,156907
UT,18,196189,99421
UT,19,126923,618
UT,20,116421,2054
UT,21,130434,3882
UT,22,252104,7837
UT,23,218938,37386
UT,24,616128,35808
UT,25,238405,95017
UT,26,235014,127012
UT,27,136605,175502
UT,28,174450,150844
UT,29,260427,119842
UT,30,552522,138712
UT,31,472556,147531
WB,1,1918,0
WB,2,41262,0
WB,3,170838,0
WB,4,109807,0
WB,5,156918,1084
WB,6,139586,43442
WB,7,333553,94321
WB,8,346056,98781
WB,9,692572,120181
WB,10,1049236,123596
WB,11,1101115,131092
WB,12,1117185,95357
WB,13,1712540,210728
WB,14,604467,244081
WB,15,650063,548644
WB,16,462831,656799
WB,17,133816,760535
WB,18,131318,589347
WB,19,318923,96990
WB,20,1133002,49083
WB,21,1683066,77019
WB,22,1471746,97541
WB,23,1115331,221649
WB,24,1643157,463266
WB,25,815188,732087
WB,26,569656,907248
WB,27,835366,1096734
WB,28,946725,734887
WB,29,1350077,486888
WB,30,2121735,388892
WB,31,1856470,318877
